word	partOfSpeech	English	source_url
excelentísimo	adjective	superlative degree of excelente	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
exhibir	verb	to exhibit, to show	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
flotar	verb	to float	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
hipótesis	noun	hypothesis	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
imposibilidad	noun	impossibility	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
inmadurez	noun	immaturity	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
magno	adjective	great	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
maltratar	verb	to mistreat (treat someone or something roughly or badly)	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
melancolía	noun	melancholy	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
motor	noun	moving	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
movilizar	verb	to mobilize	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
natalidad	noun	birth rate	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
oso	noun	bear (in general)	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
paterno	adjective	parental	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
paz	noun	peace (warlessness)	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
perpetuo	adjective	perpetual	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
perteneciente	adjective	[with a ‘someone/something’] belonging to	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
portal	noun	portal	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
predestinar	verb	to predestine	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
preocupante	adjective	worrying	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
presidencial	adjective	presidential	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
presidir	verb	to preside	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
